match_no,match_id,slug,scorecard_url,squads_url
1,149618,srh-vs-rcb-1st-match-indian-premier-league-2026,https://www.cricbuzz.com/live-cricket-scorecard/149618/srh-vs-rcb-1st-match-indian-premier-league-2026,https://www.cricbuzz.com/cricket-match-squads/149618/srh-vs-rcb-1st-match-indian-premier-league-2026
2,149629,kkr-vs-mi-2nd-match-indian-premier-league-2026,https://www.cricbuzz.com/live-cricket-scorecard/149629/kkr-vs-mi-2nd-match-indian-premier-league-2026,https://www.cricbuzz.com/cricket-match-squads/149629/kkr-vs-mi-2nd-match-indian-premier-league-2026
3,149640,csk-vs-rr-3rd-match-indian-premier-league-2026,https://www.cricbuzz.com/live-cricket-scorecard/149640/csk-vs-rr-3rd-match-indian-premier-league-2026,https://www.cricbuzz.com/cricket-match-squads/149640/csk-vs-rr-3rd-match-indian-premier-league-2026
4,149651,gt-vs-pbks-4th-match-indian-premier-league-2026,https://www.cricbuzz.com/live-cricket-scorecard/149651/gt-vs-pbks-4th-match-indian-premier-league-2026,https://www.cricbuzz.com/cricket-match-squads/149651/gt-vs-pbks-4th-match-indian-premier-league-2026
5,149662,lsg-vs-dc-5th-match-indian-premier-league-2026,https://www.cricbuzz.com/live-cricket-scorecard/149662/lsg-vs-dc-5th-match-indian-premier-league-2026,https://www.cricbuzz.com/cricket-match-squads/149662/lsg-vs-dc-5th-match-indian-premier-league-2026
6,149673,srh-vs-kkr-6th-match-indian-premier-league-2026,https://www.cricbuzz.com/live-cricket-scorecard/149673/srh-vs-kkr-6th-match-indian-premier-league-2026,https://www.cricbuzz.com/cricket-match-squads/149673/srh-vs-kkr-6th-match-indian-premier-league-2026
7,149684,csk-vs-pbks-7th-match-indian-premier-league-2026,https://www.cricbuzz.com/live-cricket-scorecard/149684/csk-vs-pbks-7th-match-indian-premier-league-2026,https://www.cricbuzz.com/cricket-match-squads/149684/csk-vs-pbks-7th-match-indian-premier-league-2026
8,149695,mi-vs-dc-8th-match-indian-premier-league-2026,https://www.cricbuzz.com/live-cricket-scorecard/149695/mi-vs-dc-8th-match-indian-premier-league-2026,https://www.cricbuzz.com/cricket-match-squads/149695/mi-vs-dc-8th-match-indian-premier-league-2026
9,149699,rr-vs-gt-9th-match-indian-premier-league-2026,https://www.cricbuzz.com/live-cricket-scorecard/149699/rr-vs-gt-9th-match-indian-premier-league-2026,https://www.cricbuzz.com/cricket-match-squads/149699/rr-vs-gt-9th-match-indian-premier-league-2026
10,149710,srh-vs-lsg-10th-match-indian-premier-league-2026,https://www.cricbuzz.com/live-cricket-scorecard/149710/srh-vs-lsg-10th-match-indian-premier-league-2026,https://www.cricbuzz.com/cricket-match-squads/149710/srh-vs-lsg-10th-match-indian-premier-league-2026
11,149721,rcb-vs-csk-11th-match-indian-premier-league-2026,https://www.cricbuzz.com/live-cricket-scorecard/149721/rcb-vs-csk-11th-match-indian-premier-league-2026,https://www.cricbuzz.com/cricket-match-squads/149721/rcb-vs-csk-11th-match-indian-premier-league-2026
